month,segment_key,share,required_saos,effective_asp,effective_cw_rate,projected_pipeline,projected_bookings,projected_deals,capacity_flag,weighted_roi,in_window_factor,in_window_bookings,deferred_bookings,product,channel,period
7,EOR.Marketing,0.4,2204.17633410673,7500.0,0.52,16531322.505800474,8596287.703016248,1146,0,3900.0,1.0,8596287.703016248,0.0,EOR,Marketing,7
7,EOR.Outbound,0.05,275.52204176334124,12500.0,0.24,3444025.5220417655,826566.1252900237,66,0,3000.0,1.0,826566.1252900237,0.0,EOR,Outbound,7
7,EOR.Partner,0.3699999999999998,2038.863109048724,11250.0,0.2799999999999999,22937209.976798143,6422418.793503479,571,0,3149.9999999999995,1.0,6422418.793503479,0.0,EOR,Partner,7
7,Payroll.Marketing,0.03,165.31322505800472,12000.0,0.25,1983758.7006960567,495939.6751740142,41,0,3000.0,1.0,495939.6751740142,0.0,Payroll,Marketing,7
7,Payroll.Outbound,0.03,165.31322505800472,15000.0,0.1,2479698.375870071,247969.8375870071,17,0,1500.0,1.0,247969.8375870071,0.0,Payroll,Outbound,7
7,Payroll.Partner,0.03,165.31322505800472,20000.0,0.15,3306264.5011600945,495939.6751740142,25,0,3000.0,1.0,495939.6751740142,0.0,Payroll,Partner,7
8,CM.Marketing,0.03,135.72892861943816,5000.0,0.35,678644.6430971908,237525.62508401676,48,0,1750.0,1.0,237525.62508401676,0.0,CM,Marketing,8
8,CM.Outbound,0.03,135.72892861943816,7000.0,0.15,950102.5003360672,142515.37505041008,20,0,1050.0,1.0,142515.37505041008,0.0,CM,Outbound,8
8,CM.Partner,0.03,135.72892861943816,8000.0,0.2,1085831.4289555054,217166.28579110108,27,0,1600.0,1.0,217166.28579110108,0.0,CM,Partner,8
8,EOR.Marketing,0.4,1809.7190482591757,7500.0,0.52,13572892.861943817,7057904.288210785,941,0,3900.0,1.0,7057904.288210785,0.0,EOR,Marketing,8
8,EOR.Outbound,0.06,271.45785723887633,12500.0,0.2427107138056183,3393223.215485954,823571.6287323914,66,0,3033.8839225702295,1.0,823571.6287323914,0.0,EOR,Outbound,8
8,EOR.Partner,0.3599999999999997,1628.747143433257,11250.0,0.2799999999999999,18323405.36362414,5130553.501814758,456,0,3149.9999999999995,1.0,5130553.501814758,0.0,EOR,Partner,8
8,Payroll.Marketing,0.03,135.72892861943816,12000.0,0.25,1628747.143433258,407186.7858583145,34,0,3000.0,1.0,407186.7858583145,0.0,Payroll,Marketing,8
8,Payroll.Outbound,0.03,135.72892861943816,15000.0,0.1,2035933.9292915724,203593.39292915724,14,0,1500.0,1.0,203593.39292915724,0.0,Payroll,Outbound,8
8,Payroll.Partner,0.03,135.72892861943816,20000.0,0.15,2714578.572388763,407186.7858583144,20,0,3000.0,1.0,407186.7858583144,0.0,Payroll,Partner,8
9,CM.Marketing,0.03,147.98050139275773,5000.0,0.35,739902.5069637886,258965.877437326,52,0,1750.0,1.0,258965.877437326,0.0,CM,Marketing,9
9,CM.Outbound,0.03,147.98050139275773,7000.0,0.15,1035863.5097493042,155379.52646239562,22,0,1050.0,1.0,155379.52646239562,0.0,CM,Outbound,9
9,CM.Partner,0.03,147.98050139275773,8000.0,0.2,1183844.0111420618,236768.80222841236,30,0,1600.0,1.0,236768.80222841236,0.0,CM,Partner,9
9,EOR.Marketing,0.4,1973.0733519034368,7500.0,0.52,14798050.139275774,7694986.072423403,1026,0,3900.0,1.0,7694986.072423403,0.0,EOR,Marketing,9
9,EOR.Outbound,0.06,295.9610027855155,12500.0,0.24,3699512.534818944,887883.0083565465,71,0,3000.0,1.0,887883.0083565465,0.0,EOR,Outbound,9
9,EOR.Partner,0.3599999999999997,1775.7660167130916,11250.0,0.2799999999999999,19977367.68802228,5593662.952646239,497,0,3149.9999999999995,1.0,5593662.952646239,0.0,EOR,Partner,9
9,Payroll.Marketing,0.03,147.98050139275773,12000.0,0.25,1775766.0167130928,443941.5041782732,37,0,3000.0,1.0,443941.5041782732,0.0,Payroll,Marketing,9
9,Payroll.Outbound,0.03,147.98050139275773,15000.0,0.1,2219707.520891366,221970.75208913663,15,0,1500.0,1.0,221970.75208913663,0.0,Payroll,Outbound,9
9,Payroll.Partner,0.03,147.98050139275773,20000.0,0.15,2959610.0278551546,443941.5041782732,22,0,3000.0,1.0,443941.5041782732,0.0,Payroll,Partner,9
10,CM.Marketing,0.03,173.4706137032499,5000.0,0.35,867353.0685162495,303573.5739806873,61,1,1750.0,0.9,273216.2165826186,30357.357398068725,CM,Marketing,10
10,CM.Outbound,0.03,173.4706137032499,7000.0,0.15,1214294.2959227494,182144.1443884124,26,1,1050.0,0.9,163929.7299495712,18214.41443884124,CM,Outbound,10
10,CM.Partner,0.03,173.4706137032499,8000.0,0.2,1387764.9096259992,277552.98192519986,35,1,1600.0,0.9,249797.68373267987,27755.29819251998,CM,Partner,10
10,EOR.Marketing,0.4,2312.9415160433323,7500.0,0.52,17347061.37032499,9020471.912568996,1203,1,3900.0,0.8,7216377.530055197,1804094.3825137988,EOR,Marketing,10
10,EOR.Outbound,0.05,289.11768950541654,12500.0,0.24,3613971.1188177066,867353.0685162495,69,1,3000.0,0.8,693882.4548129997,173470.61370324987,EOR,Outbound,10
