sao_month,booking_month,segment_key,product,delay_months,probability,sao_bookings,realized_bookings,in_window
5,5,CM.Partner,CM,0,0.4,209010.68276823044,83604.27310729219,True
5,6,CM.Partner,CM,1,0.35,209010.68276823044,73153.73896888064,True
5,7,CM.Partner,CM,2,0.15,209010.68276823044,31351.602415234564,True
5,8,CM.Partner,CM,3,0.1,209010.68276823044,20901.068276823047,True
5,5,EOR.Marketing,EOR,0,0.1,6792847.189967491,679284.7189967491,True
5,6,EOR.Marketing,EOR,1,0.3,6792847.189967491,2037854.156990247,True
5,7,EOR.Marketing,EOR,2,0.4,6792847.189967491,2717138.8759869966,True
5,8,EOR.Marketing,EOR,3,0.2,6792847.189967491,1358569.4379934983,True
5,5,EOR.Outbound,EOR,0,0.1,914421.7371110083,91442.17371110083,True
5,6,EOR.Outbound,EOR,1,0.3,914421.7371110083,274326.5211333025,True
5,7,EOR.Outbound,EOR,2,0.4,914421.7371110083,365768.6948444033,True
5,8,EOR.Outbound,EOR,3,0.2,914421.7371110083,182884.34742220165,True
5,5,EOR.Partner,EOR,0,0.1,4800714.1198327895,480071.411983279,True
5,6,EOR.Partner,EOR,1,0.3,4800714.1198327895,1440214.235949837,True
5,7,EOR.Partner,EOR,2,0.4,4800714.1198327895,1920285.647933116,True
5,8,EOR.Partner,EOR,3,0.2,4800714.1198327895,960142.823966558,True
5,5,Payroll.Marketing,Payroll,0,0.5,391895.0301904321,195947.51509521605,True
5,6,Payroll.Marketing,Payroll,1,0.3,391895.0301904321,117568.50905712963,True
5,7,Payroll.Marketing,Payroll,2,0.2,391895.0301904321,78379.00603808642,True
5,5,Payroll.Outbound,Payroll,0,0.5,195947.51509521605,97973.75754760802,True
5,6,Payroll.Outbound,Payroll,1,0.3,195947.51509521605,58784.254528564816,True
5,7,Payroll.Outbound,Payroll,2,0.2,195947.51509521605,39189.50301904321,True
5,5,Payroll.Partner,Payroll,0,0.5,391895.03019043204,195947.51509521602,True
5,6,Payroll.Partner,Payroll,1,0.3,391895.03019043204,117568.5090571296,True
5,7,Payroll.Partner,Payroll,2,0.2,391895.03019043204,78379.00603808642,True
6,6,CM.Marketing,CM,0,0.4,243732.59052924797,97493.03621169919,True
6,7,CM.Marketing,CM,1,0.35,243732.59052924797,85306.40668523678,True
6,8,CM.Marketing,CM,2,0.15,243732.59052924797,36559.888579387196,True
6,9,CM.Marketing,CM,3,0.1,243732.59052924797,24373.259052924797,True
6,6,CM.Outbound,CM,0,0.4,146239.55431754878,58495.82172701952,True
6,7,CM.Outbound,CM,1,0.35,146239.55431754878,51183.84401114207,True
6,8,CM.Outbound,CM,2,0.15,146239.55431754878,21935.933147632317,True
6,9,CM.Outbound,CM,3,0.1,146239.55431754878,14623.95543175488,True
6,6,CM.Partner,CM,0,0.4,222841.22562674104,89136.49025069643,True
6,7,CM.Partner,CM,1,0.35,222841.22562674104,77994.42896935936,True
6,8,CM.Partner,CM,2,0.15,222841.22562674104,33426.18384401115,True
6,9,CM.Partner,CM,3,0.1,222841.22562674104,22284.122562674107,True
6,6,EOR.Marketing,EOR,0,0.1,7242339.832869085,724233.9832869085,True
6,7,EOR.Marketing,EOR,1,0.3,7242339.832869085,2172701.949860725,True
6,8,EOR.Marketing,EOR,2,0.4,7242339.832869085,2896935.933147634,True
6,9,EOR.Marketing,EOR,3,0.2,7242339.832869085,1448467.966573817,True
6,6,EOR.Outbound,EOR,0,0.1,835654.5961002789,83565.4596100279,True
6,7,EOR.Outbound,EOR,1,0.3,835654.5961002789,250696.37883008365,True
6,8,EOR.Outbound,EOR,2,0.4,835654.5961002789,334261.8384401116,True
6,9,EOR.Outbound,EOR,3,0.2,835654.5961002789,167130.9192200558,True
6,6,EOR.Partner,EOR,0,0.1,5264623.955431753,526462.3955431753,True
6,7,EOR.Partner,EOR,1,0.3,5264623.955431753,1579387.1866295259,True
6,8,EOR.Partner,EOR,2,0.4,5264623.955431753,2105849.582172701,True
